transaction_id,date,region,country,customer_id,segment,product_category,budget_amount,actual_amount,cost,revenue,claim_flag,claim_amount,churn_flag,orders_count,location
TX100631,2023-07-01,North West,South Africa,CUST20031,Corporate,Insurance,34241.2,46069.17,28936.52,38318.45,0,0.0,0,1,"North West, South Africa"
TX100634,2024-12-14,Free State,South Africa,CUST20034,Retail,Cards,9432.22,1657.16,20980.31,41137.93,0,0.0,0,0,"Free State, South Africa"
TX100963,2024-12-15,Gauteng,South Africa,CUST20063,Retail,Cards,5777.88,43383.14,23038.4,24310.14,0,0.0,0,3,"Gauteng, South Africa"
TX100625,2023-10-28,Gauteng,South Africa,CUST20025,Retail,Cards,18818.62,21437.15,4334.36,59962.86,0,0.0,0,0,"Gauteng, South Africa"
TX100365,2023-01-18,Eastern Cape,South Africa,CUST20065,Corporate,Insurance,6173.99,6016.53,2464.37,5341.17,0,0.0,0,3,"Eastern Cape, South Africa"
TX100720,2023-09-08,Free State,South Africa,CUST20120,Retail,Savings,2264.66,45160.61,5292.78,35128.82,0,0.0,0,6,"Free State, South Africa"
TX100750,2023-03-24,Eastern Cape,South Africa,CUST20150,Retail,Loans,33947.1,16372.94,6327.5,30364.48,0,0.0,0,2,"Eastern Cape, South Africa"
TX100533,2024-12-29,Western Cape,South Africa,CUST20233,Sme,Savings,5532.52,59852.33,165.31,56683.93,0,0.0,0,4,"Western Cape, South Africa"
TX100519,2023-03-31,KwaZulu-Natal,South Africa,CUST20219,Retail,Loans,16596.9,38256.11,21719.41,22729.37,0,0.0,0,2,"KwaZulu-Natal, South Africa"
TX100070,2024-07-19,North West,South Africa,CUST20070,Retail,Cards,17729.84,44105.12,5031.53,287.43,0,0.0,0,2,"North West, South Africa"
TX100945,2023-08-31,Free State,South Africa,CUST20045,Corporate,Loans,38494.5,8811.7,7825.94,59334.82,0,0.0,0,5,"Free State, South Africa"
TX100436,2023-12-12,Western Cape,South Africa,CUST20136,Retail,Investments,31513.88,15427.97,13932.05,58684.7,0,0.0,0,1,"Western Cape, South Africa"
TX100958,2024-08-28,Gauteng,South Africa,CUST20058,Corporate,Insurance,46384.05,40463.78,6106.23,67314.19,0,0.0,0,3,"Gauteng, South Africa"
TX100440,2024-01-28,North West,South Africa,CUST20140,Retail,Cards,23938.045,29555.635000000002,24645.48,22507.93,0,0.0,0,2,"North West, South Africa"
TX100249,2024-05-25,Gauteng,South Africa,CUST20249,Retail,Insurance,44333.4,26904.39,14102.19,63233.52,0,0.0,0,2,"Gauteng, South Africa"
TX100615,2023-12-05,Free State,South Africa,CUST20015,Retail,Insurance,6449.23,1067.83,23274.95,46190.89,0,0.0,1,2,"Free State, South Africa"
TX100644,2024-10-21,Free State,South Africa,CUST20044,Retail,Cards,10837.78,47623.59,17011.55,5038.66,0,0.0,0,2,"Free State, South Africa"
TX100552,2023-09-30,KwaZulu-Natal,South Africa,CUST20252,Retail,Loans,4268.0,16802.33,7381.5,4988.08,0,0.0,0,2,"KwaZulu-Natal, South Africa"
TX100549,2024-06-08,Free State,South Africa,CUST20249,Retail,Investments,41788.44,44581.72,20485.39,66048.72,0,0.0,0,2,"Free State, South Africa"
TX100101,2023-05-09,KwaZulu-Natal,South Africa,CUST20101,Retail,Cards,24805.05,33964.55,13533.31,42127.84,0,0.0,0,5,"KwaZulu-Natal, South Africa"
TX100265,2023-12-12,Gauteng,South Africa,CUST20265,Corporate,Insurance,49883.52,30202.34,14440.79,45932.53,0,0.0,0,0,"Gauteng, South Africa"
TX100731,2023-08-05,Western Cape,South Africa,CUST20131,Sme,Savings,26720.1,15026.78,21845.33,12821.87,1,5220.82,0,2,"Western Cape, South Africa"
