transaction_id,date,region,country,customer_id,segment,product_category,budget_amount,actual_amount,cost,revenue,claim_flag,claim_amount,churn_flag,orders_count,location
TX100631,2023-07-01,North West,South Africa,CUST20031,Corporate,Insurance,"34 241,20","46 069,17","28 936,52","38 318,45",0,"0,00",0,1,"North West, South Africa"
TX100634,2024-12-14,Free State,South Africa,CUST20034,Retail,Cards,"9 432,22","1 657,16","20 980,31","41 137,93",0,"0,00",0,0,"Free State, South Africa"
TX100963,2024-12-15,Gauteng,South Africa,CUST20063,Retail,Cards,"5 777,88","43 383,14","23 038,40","24 310,14",0,"0,00",0,3,"Gauteng, South Africa"
TX100625,2023-10-28,Gauteng,South Africa,CUST20025,Retail,Cards,"18 818,62","21 437,15","4 334,36","59 962,86",0,"0,00",0,0,"Gauteng, South Africa"
TX100365,2023-01-18,Eastern Cape,South Africa,CUST20065,Corporate,Insurance,"6 173,99","6 016,53","2 464,37","5 341,17",0,"0,00",0,3,"Eastern Cape, South Africa"
TX100720,2023-09-08,Free State,South Africa,CUST20120,Retail,Savings,"2 264,66","45 160,61","5 292,78","35 128,82",0,"0,00",0,6,"Free State, South Africa"
TX100750,2023-03-24,Eastern Cape,South Africa,CUST20150,Retail,Loans,"33 947,10","16 372,94","6 327,50","30 364,48",0,"0,00",0,2,"Eastern Cape, South Africa"
TX100533,2024-12-29,Western Cape,South Africa,CUST20233,Sme,Savings,"5 532,52","59 852,33","165,31","56 683,93",0,"0,00",0,4,"Western Cape, South Africa"
TX100519,2023-03-31,KwaZulu-Natal,South Africa,CUST20219,Retail,Loans,"16 596,90","38 256,11","21 719,41","22 729,37",0,"0,00",0,2,"KwaZulu-Natal, South Africa"
TX100070,2024-07-19,North West,South Africa,CUST20070,Retail,Cards,"17 729,84","44 105,12","5 031,53","287,43",0,"0,00",0,2,"North West, South Africa"
TX100945,2023-08-31,Free State,South Africa,CUST20045,Corporate,Loans,"38 494,50","8 811,70","7 825,94","59 334,82",0,"0,00",0,5,"Free State, South Africa"
TX100436,2023-12-12,Western Cape,South Africa,CUST20136,Retail,Investments,"31 513,88","15 427,97","13 932,05","58 684,70",0,"0,00",0,1,"Western Cape, South Africa"
TX100958,2024-08-28,Gauteng,South Africa,CUST20058,Corporate,Insurance,"46 384,05","40 463,78","6 106,23","67 314,19",0,"0,00",0,3,"Gauteng, South Africa"
TX100440,2024-01-28,North West,South Africa,CUST20140,Retail,Cards,"23 938,04","29 555,64","24 645,48","22 507,93",0,"0,00",0,2,"North West, South Africa"
TX100249,2024-05-25,Gauteng,South Africa,CUST20249,Retail,Insurance,"44 333,40","26 904,39","14 102,19","63 233,52",0,"0,00",0,2,"Gauteng, South Africa"
TX100615,2023-12-05,Free State,South Africa,CUST20015,Retail,Insurance,"6 449,23","1 067,83","23 274,95","46 190,89",0,"0,00",1,2,"Free State, South Africa"
TX100644,2024-10-21,Free State,South Africa,CUST20044,Retail,Cards,"10 837,78","47 623,59","17 011,55","5 038,66",0,"0,00",0,2,"Free State, South Africa"
TX100552,2023-09-30,KwaZulu-Natal,South Africa,CUST20252,Retail,Loans,"4 268,00","16 802,33","7 381,50","4 988,08",0,"0,00",0,2,"KwaZulu-Natal, South Africa"
TX100549,2024-06-08,Free State,South Africa,CUST20249,Retail,Investments,"41 788,44","44 581,72","20 485,39","66 048,72",0,"0,00",0,2,"Free State, South Africa"
TX100101,2023-05-09,KwaZulu-Natal,South Africa,CUST20101,Retail,Cards,"24 805,05","33 964,55","13 533,31","42 127,84",0,"0,00",0,5,"KwaZulu-Natal, South Africa"
TX100265,2023-12-12,Gauteng,South Africa,CUST20265,Corporate,Insurance,"49 883,52","30 202,34","14 440,79","45 932,53",0,"0,00",0,0,"Gauteng, South Africa"
TX100731,2023-08-05,Western Cape,South Africa,CUST20131,Sme,Savings,"26 720,10","15 026,78","21 845,33","12 821,87",1,"5 220,82",0,2,"Western Cape, South Africa"
TX100213,2024-10-03,Gauteng,South Africa,CUST20213,Retail,Cards,"45 455,20","39 637,04","17 388,73","23 002,30",0,"0,00",0,2,"Gauteng, South Africa"
TX100604,2023-06-23,Free State,South Africa,CUST20004,Retail,Insurance,"31 204,98","19 027,23","27 100,53","52 140,58",0,"0,00",0,4,"Free State, South Africa"
TX100597,2024-08-10,Limpopo,South Africa,CUST20297,Retail,Investments,"6 592,86","2 309,74","20 226,03","68 811,40",0,"0,00",1,3,"Limpopo, South Africa"
TX100254,2024-10-01,KwaZulu-Natal,South Africa,CUST20254,Sme,Insurance,"16 892,94","18 437,05","11 523,41","26 571,95",0,"0,00",0,6,"KwaZulu-Natal, South Africa"
TX100830,2024-09-25,Eastern Cape,South Africa,CUST20230,Corporate,Loans,"17 197,49","24 108,96","2 067,37","60 111,97",0,"0,00",0,3,"Eastern Cape, South Africa"
TX100289,2024-02-24,Western Cape,South Africa,ANONYMOUS,Retail,Loans,"12 514,72","44 817,09","12 297,34","55 339,73",0,"0,00",0,4,"Western Cape, South Africa"
TX100554,2024-08-18,KwaZulu-Natal,South Africa,CUST20254,Sme,Cards,"15 487,59","29 609,02","3 234,59","54 714,48",0,"0,00",0,3,"KwaZulu-Natal, South Africa"
TX100889,2024-12-30,Free State,South Africa,CUST20289,Corporate,Cards,"15 383,20","54 015,05","22 533,13","7 368,56",1,"22 234,89",0,3,"Free State, South Africa"
TX100468,2023-04-04,Eastern Cape,South Africa,CUST20168,Retail,Loans,"13 428,14","13 608,99","17 684,97","12 064,44",0,"0,00",0,1,"Eastern Cape, South Africa"
TX100350,2023-10-07,Western Cape,South Africa,CUST20050,Retail,Loans,"29 657,09","44 522,14","3 671,52","1 084,88",0,"0,00",0,1,"Western Cape, South Africa"
