transaction_id,date,customer_id,product_category,budget_amount,actual_amount,cost,revenue,claim_flag,claim_amount,churn_flag,orders_count,profit,variance,variance_pct
TX100631,2023-07-01,CUST20031,Insurance,34241.2,46069.17,28936.52,38318.45,0,0.0,0,1,9381.929999999997,11827.970000000001,0.34543094284078835
TX100634,2024-12-14,CUST20034,Cards,9432.22,1657.16,20980.31,41137.93,0,0.0,0,0,20157.62,-7775.0599999999995,-0.8243085933110127
TX100963,2024-12-15,CUST20063,Cards,5777.88,43383.14,23038.4,24310.14,0,0.0,0,3,1271.739999999998,37605.26,6.508487542143485
TX100625,2023-10-28,CUST20025,Cards,18818.62,21437.15,4334.36,59962.86,0,0.0,0,0,55628.5,2618.5300000000025,0.13914569718714775
TX100365,2023-01-18,CUST20065,Insurance,6173.99,6016.53,2464.37,5341.17,0,0.0,0,3,2876.8,-157.46000000000004,-0.02550376660797961
TX100720,2023-09-08,CUST20120,Savings,2264.66,45160.61,5292.78,35128.82,0,0.0,0,6,29836.04,42895.95,18.941452580078245
TX100750,2023-03-24,CUST20150,Loans,33947.1,16372.94,6327.5,30364.48,0,0.0,0,2,24036.98,-17574.159999999996,-0.5176925274913026
TX100533,2024-12-29,CUST20233,Savings,5532.52,59852.33,165.31,56683.93,0,0.0,0,4,56518.62,54319.81,9.81827630085386
TX100519,2023-03-31,CUST20219,Loans,16596.9,38256.11,21719.41,22729.37,0,0.0,0,2,1009.9599999999991,21659.21,1.3050153944411305
TX100070,2024-07-19,CUST20070,Cards,17729.84,44105.12,5031.53,287.43,0,0.0,0,2,-4744.099999999999,26375.280000000002,1.487620869675079
TX100945,2023-08-31,CUST20045,Loans,38494.5,8811.7,7825.94,59334.82,0,0.0,0,5,51508.88,-29682.8,-0.7710919741781294
TX100436,2023-12-12,CUST20136,Investments,31513.88,15427.97,13932.05,58684.7,0,0.0,0,1,44752.649999999994,-16085.910000000002,-0.5104388923230019
TX100958,2024-08-28,CUST20058,Insurance,46384.05,40463.78,6106.23,67314.19,0,0.0,0,3,61207.96000000001,-5920.270000000004,-0.12763590070293568
TX100440,2024-01-28,CUST20140,Cards,23938.045,29555.635,24645.48,22507.93,0,0.0,0,2,-2137.5499999999993,5617.59,0.23467204610902856
TX100249,2024-05-25,CUST20249,Insurance,44333.4,26904.39,14102.19,63233.52,0,0.0,0,2,49131.329999999994,-17429.010000000002,-0.3931349727293644
TX100615,2023-12-05,CUST20015,Insurance,6449.23,1067.83,23274.95,46190.89,0,0.0,1,2,22915.94,-5381.4,-0.8344251949457532
TX100644,2024-10-21,CUST20044,Cards,10837.78,47623.59,17011.55,5038.66,0,0.0,0,2,-11972.89,36785.81,3.394220033992201
TX100552,2023-09-30,CUST20252,Loans,4268.0,16802.33,7381.5,4988.08,0,0.0,0,2,-2393.42,12534.330000000002,2.936815838800375
TX100549,2024-06-08,CUST20249,Investments,41788.44,44581.72,20485.39,66048.72,0,0.0,0,2,45563.33,2793.279999999999,0.0668433662515279
TX100101,2023-05-09,CUST20101,Cards,24805.05,33964.55,13533.31,42127.84,0,0.0,0,5,28594.53,9159.500000000004,0.3692594854676771
TX100265,2023-12-12,CUST20265,Insurance,49883.52,30202.34,14440.79,45932.53,0,0.0,0,0,31491.739999999998,-19681.179999999997,-0.3945427267362046
TX100731,2023-08-05,CUST20131,Savings,26720.1,15026.78,21845.33,12821.87,1,5220.82,0,2,-9023.460000000001,-11693.319999999998,-0.43762261368782296
TX100213,2024-10-03,CUST20213,Cards,45455.2,39637.04,17388.73,23002.3,0,0.0,0,2,5613.57,-5818.159999999996,-0.12799767683345353
TX100604,2023-06-23,CUST20004,Insurance,31204.98,19027.23,27100.53,52140.58,0,0.0,0,4,25040.050000000003,-12177.75,-0.3902502100626246
TX100597,2024-08-10,CUST20297,Investments,6592.86,2309.74,20226.03,68811.4,0,0.0,1,3,48585.369999999995,-4283.12,-0.6496603901796792
TX100254,2024-10-01,CUST20254,Insurance,16892.94,18437.05,11523.41,26571.95,0,0.0,0,6,15048.54,1544.1100000000006,0.0914056404628206
TX100830,2024-09-25,CUST20230,Loans,17197.49,24108.96,2067.37,60111.97,0,0.0,0,3,58044.6,6911.4699999999975,0.4018882988156991
TX100289,2024-02-24,ANONYMOUS,Loans,12514.72,44817.09,12297.34,55339.73,0,0.0,0,4,43042.39,32302.369999999995,2.581150037715586
TX100554,2024-08-18,CUST20254,Cards,15487.59,29609.02,3234.59,54714.48,0,0.0,0,3,51479.89,14121.43,0.9117900202678403
TX100889,2024-12-30,CUST20289,Cards,15383.2,54015.05,22533.13,7368.56,1,22234.89,0,3,-15164.57,38631.850000000006,2.5113012897186544
TX100468,2023-04-04,CUST20168,Loans,13428.14,13608.99,17684.97,12064.44,0,0.0,0,1,-5620.530000000001,180.85000000000036,0.0134679858863551
TX100350,2023-10-07,CUST20050,Loans,29657.09,44522.14,3671.52,1084.88,0,0.0,0,1,-2586.64,14865.05,0.5012309029645188
TX100096,2023-06-06,CUST20096,Investments,47070.82,2387.49,14728.24,12429.05,1,1675.18,0,1,-2299.1900000000005,-44683.33,-0.949278767610167
TX100544,2024-10-24,CUST20244,Savings,14830.86,24606.34,23041.65,20534.4,0,0.0,0,0,-2507.25,9775.48,0.6591310281399729
TX100991,2024-10-11,CUST20091,Savings,48014.14,53640.27,13196.85,62332.87,1,21744.04,1,2,49136.020000000004,5626.129999999997,0.11717652341581038
TX100076,2024-07-09,CUST20076,Loans,45333.55,14909.39,628.33,12451.59,0,0.0,0,4,11823.26,-30424.160000000003,-0.6711179689214721
TX100298,2023-06-02,CUST20298,Investments,11471.21,39871.38,4107.34,26256.96,0,0.0,0,2,22149.62,28400.17,2.475778056543294
TX100209,2023-03-22,CUST20209,Investments,11630.86,33340.21,5418.73,18478.29,0,0.0,0,1,13059.560000000001,21709.35,1.8665300760218932
TX100703,2023-02-10,CUST20103,Savings,42024.62,18077.61,18919.77,13618.36,0,0.0,0,0,-5301.41,-23947.010000000002,-0.5698328741580531
TX100158,2024-07-31,CUST20158,Cards,4745.55,58857.23,7386.88,41832.92,0,0.0,0,4,34446.04,54111.68,11.402615081497402
TX100500,2024-06-28,CUST20200,Investments,28102.49,56680.43,27702.9,4907.1,0,0.0,0,1,-22795.800000000003,28577.94,1.016918429648049
TX100275,2023-01-09,CUST20275,Investments,45930.16,55074.63,29880.21,3454.47,0,0.0,0,0,-26425.739999999998,9144.469999999994,0.19909510439327868
TX100334,2024-10-20,CUST20034,Investments,38195.26,30086.61,20053.22,62739.71,1,10885.57,0,1,42686.49,-8108.6500000000015,-0.21229466692987561
TX100598,2023-01-09,CUST20298,Investments,47111.36,43749.18,29723.39,64748.39,0,0.0,0,2,35025.0,-3362.1800000000003,-0.0713666512705216
TX100781,2023-08-17,CUST20181,Loans,36781.92,56300.64,7646.81,31549.42,0,0.0,0,1,23902.609999999997,19518.72,0.5306607159169505
TX100705,2024-05-16,CUST20105,Investments,19316.6,40246.19,24044.0,10790.33,0,0.0,0,1,-13253.67,20929.590000000004,1.0835027903461274
TX100486,2024-03-17,CUST20186,Insurance,44818.99,11921.35,921.37,62384.06,0,0.0,0,2,61462.689999999995,-32897.64,-0.7340111858834838
TX100660,2024-07-09,CUST20060,Savings,49786.25,57152.56,21261.82,16279.77,0,0.0,0,1,-4982.049999999999,7366.309999999998,0.1479587235431469
TX100887,2023-10-01,CUST20287,Insurance,43310.51,13581.79,7296.38,65927.16,0,0.0,0,0,58630.780000000006,-29728.72,-0.6864089109086917
TX100881,2023-11-08,CUST20281,Loans,36030.08,26422.49,16812.7,54024.81,0,0.0,0,0,37212.11,-9607.59,-0.26665469518802065
TX100445,2023-04-06,CUST20145,Savings,40470.77,53146.07,15624.29,34023.09,1,8863.57,0,1,18398.799999999996,12675.300000000003,0.313196413114947
